epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0634,1.49185,2.76548,0.87717,0.43841,0.30671,0.24615,0.14434,1.37803,1.41751,0.83243,0.000225,0.000225,0.000225
2,36.9447,1.30932,0.97827,0.8294,0.74939,0.43712,0.46982,0.27959,1.18009,0.83087,0.81679,0.000457921,0.000457921,0.000457921
3,39.846,1.29425,0.8277,0.82637,0.75537,0.37512,0.45781,0.26315,1.27077,0.96594,0.81918,0.00068614,0.00068614,0.00068614
4,42.6174,1.23823,0.75897,0.82008,0.68845,0.36914,0.41031,0.24272,1.22421,0.99809,0.81164,0.000909656,0.000909656,0.000909656
5,45.3128,1.27301,0.7551,0.82216,0.79227,0.50813,0.58395,0.35775,1.1212,0.76745,0.80794,0.00112847,0.00112847,0.00112847
6,48.1651,1.24291,0.71826,0.81509,0.81304,0.54537,0.62073,0.34692,1.23977,0.66744,0.81347,0.00118812,0.00118812,0.00118812
7,50.8419,1.25275,0.6975,0.81811,0.8553,0.52671,0.62752,0.35348,1.29264,0.68636,0.81734,0.00117575,0.00117575,0.00117575
8,53.7278,1.32739,0.67603,0.81667,0.83813,0.53141,0.63705,0.3322,1.38514,0.6796,0.82103,0.00116337,0.00116337,0.00116337
9,56.3848,1.33079,0.67874,0.82084,0.70132,0.59986,0.64879,0.36621,1.23151,0.6598,0.81435,0.001151,0.001151,0.001151
10,59.1126,1.20793,0.62977,0.81747,0.75041,0.62818,0.66928,0.41774,1.09401,0.58672,0.80671,0.00113863,0.00113863,0.00113863
11,61.8392,1.13154,0.59285,0.81169,0.78973,0.59925,0.66454,0.41773,1.07125,0.5694,0.8044,0.00112625,0.00112625,0.00112625
12,64.488,1.13659,0.58683,0.8098,0.82746,0.66253,0.70203,0.4417,1.02071,0.55844,0.79963,0.00111388,0.00111388,0.00111388
13,67.3791,1.13239,0.57115,0.8029,0.86196,0.64573,0.71286,0.44779,1.03992,0.57463,0.8011,0.0011015,0.0011015,0.0011015
14,70.1252,1.17892,0.59178,0.81462,0.80504,0.64689,0.70604,0.44644,1.07357,0.55242,0.80268,0.00108913,0.00108913,0.00108913
